
##### OOB #####
units = {
	#Newark
	fleet = {
		name = "Battle Fleet 5"
		naval_base = 6882  #Newark
		task_force = {
			name = "Battle Fleet 5"
			location = 6882  #Newark
			ship = { name = "USS Allen M. Sumner" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Moale" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Ingraham" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Cooper" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS English" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Charles S. Sperry" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Ault" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Waldron" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Haynsworth" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS John W. Weeks" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Hank" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Wallace L. Lind" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Borie" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Compton" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Gainard" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Soley" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
